task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
111,0.9030612244897959,0.20008563995361328,0.938232421875,4.115219315988876,16.983762171539784,0.24900552457485362,-0.044448447341858426,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
112,0.9017857142857143,0.28606411814689636,0.9052734375,4.11762228850184,17.003844464157233,0.23099394349027413,-0.05421770623043337,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
113,0.9005102040816326,0.2800203859806061,0.9111328125,4.1281450182187,17.091216650810217,0.26242732894048443,-0.042843226935643554,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
114,0.9017857142857143,0.2558612525463104,0.91796875,4.133223811635524,17.133491666116768,0.24050179046119738,-0.049543255083607844,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
115,0.9017857142857143,0.2607744634151459,0.915283203125,4.139460608923848,17.184298053878603,0.23872363533758587,-0.04742190421447555,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
116,0.9005102040816326,0.24949878454208374,0.920166015625,4.151229753897379,17.282651486123516,0.2586064955876868,-0.038411645315334836,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
117,0.9005102040816326,0.24399273097515106,0.92578125,4.160076902269415,17.357083607644736,0.249096617934751,-0.042045835478692936,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
118,0.9030612244897959,0.23009131848812103,0.92529296875,4.168950405325298,17.43049755522766,0.2233396887514165,-0.03819715335589087,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
119,0.9030612244897959,0.24365225434303284,0.91650390625,4.180029530570261,17.52029256098672,0.2283681244160398,-0.03508408518181085,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
120,0.9005102040816326,0.20083343982696533,0.9375,4.189880423091171,17.603331255856475,0.2248345506139726,-0.03650109302180819,K010_SN06,0.1,snake,0.6,2,0.0010391197626836214,0.9114804355136406,3.205483611324339e-05,0.4572995116046411,77.77212312844597,0.0853960134944673,1.0036543671420495,1.0,7.105427357601002e-15,0.01609270941321395,13.971205521759924,1.3953419869985275,-0.5907467971509598,0.30201171875,0.9448000192642212
