arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,43,-0.031169810423182065,-0.0016954080975730402,2.362579705178758,0.38912710827601826,-3.0323653367222425,0.0,1.3260672745684645,-0.03660976160784174,1.2894575129606212,-0.006728180864738265,0.009786890143412658,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,44,-0.027915768793347374,0.0003303063572275277,2.179137738118254,0.18763998241147545,-3.030493785682481,0.0,0.0019643669007148503,0.040043704914540276,0.04200807181525512,0.2073042811347567,0.0,0.0,0.00028974216531553666,0.00033029645444504236,0.0,0.0,9.270362255620057e-15
R,21,45,-0.03146079321506514,0.00018452490213367504,3.013379786292698,0.7850303000088035,-3.3612213385398326,0.0,0.00043301038720751085,0.004533899725613322,0.004966910112820244,0.0361525459828618,-2.1736970514511336e-05,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,46,-0.01144724044711531,-0.009017151647566026,3.6608991254135197,0.6829820335065399,-0.8332345302127651,0.177734375,0.13500549223405842,-0.1680516308270032,-0.03304613859294392,-0.06246679947074204,0.04603962736481875,0.0,-0.007047152860854556,-0.008223189487821685,0.04277478856257965,0.0,9.270362255620057e-15
R,21,47,-0.012250947689645561,0.009203085288520794,3.853739877778911,0.8113476000467494,-1.1250099692382198,0.115234375,0.7454877531426118,0.0040291790969345445,0.7495169322395441,0.0006054578618714052,-0.05945180621019129,0.0,0.0025475681689812874,0.006702673362603807,-0.021218569844092778,0.0,9.270362255620057e-15
R,21,48,-0.02595951921255025,-0.003256159221415814,3.273806131510909,0.7199408975377236,-2.145777427076377,0.017578125,0.20733910853985307,-0.0998789486640333,0.10746015987581536,-0.033500431068956324,0.006038069760731108,0.0,-0.0006749742110236074,-0.002543645025961807,0.0006888564234385163,0.0,9.270362255620057e-15
R,21,49,-0.028749579175429082,0.0,2.2657391800981985,0.2676334102186944,-3.416504371969215,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,50,-0.017597785121807295,0.0,1.2087177270755178,0.04048438526159211,-1.9722221713286705,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,51,-0.028424685867627645,0.0,3.1036076305719793,0.6523957286672155,-3.448290971439353,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,52,0.020661047832367777,0.0031839206138528776,3.989268284427323,0.926992078605919,1.7683772019217987,0.9609375,1.5275781953391703,-0.7440723816279249,0.7835058137112529,-0.0754553815504746,-0.024290856831521327,0.0,0.0016576015621337444,0.0014955563485403085,-0.02284601150384649,0.0,9.270362255620057e-15
R,21,53,-0.01097290425052831,0.0,0.6390589426089605,0.022046557205862516,-1.2448012879180435,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,54,0.018714973698238005,-0.0019362190894159528,4.064538904400668,1.5294463155976743,1.286157184300443,0.87109375,1.191912196390888,-0.7474362589599851,0.44447593743090863,-0.08421912980425257,0.016389667537893948,0.0,0.002071391867521386,0.0014434027564174312,-0.028321598292172675,0.0,9.270362255620057e-15
R,21,55,0.027995878056182328,-0.0023615990286293283,4.040082267314313,1.1842113626434214,2.851334224389264,0.98828125,0.8506521151255968,-0.4230660558573832,0.42758605926821147,-0.05676909675428611,0.026417125513076175,0.0,-0.005870794868774375,-0.00145627945535032,0.0550639860714653,0.0,9.270362255620057e-15
R,21,56,-0.003615984897490363,0.004256740557046177,3.9395007581433914,0.958457565030708,0.4840969990023219,0.677734375,1.6490101445743666,-0.9129926289626894,0.7360175156116764,-0.09023695327111611,-0.00986832939219309,0.0,-0.0021585624850670184,0.0018908634991262549,0.03984006201836178,0.0,9.270362255620057e-15
