task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
77,0.9056122448979592,0.18206554651260376,0.93505859375,0.9167582065253488,0.20483132133919058,6.054263069892588,36.863586858845764,0.24891198119041455,0.008335717335336057,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
78,0.9056122448979592,0.14333198964595795,0.955078125,0.924471413979442,0.19085439157493955,6.084807725969386,37.23421464140031,0.2649745767721767,0.016871797112191604,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
79,0.9005102040816326,0.17060208320617676,0.946533203125,0.9110463719130278,0.21417756696527515,6.116679175809087,37.62378902733717,0.27763837066279745,0.01691175303382798,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
80,0.9017857142857143,0.181660994887352,0.9423828125,0.9059771923275032,0.2136267932338363,6.148851105073126,38.01406647868932,0.3137320216033791,0.01140217081218577,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00016131651265671295,0.24778712460225033,2.989726266031508e-05,0.29929018491114123,72.75723519401483,0.04916044662155562,0.3461646929208543,1.0,1.5987211554602254e-14,0.018678979237787247,16.795993914309015,2.9838727378766046,-1.8034926797359763,1.0,0.9570000171661377
81,0.9017857142857143,0.22719936072826385,0.92529296875,0.9189915168343176,0.19881715742330885,6.171725876708325,38.29370102988989,0.2485639753793377,0.0050352619049362345,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
82,0.9005102040816326,0.18666644394397736,0.93701171875,0.8924550002658669,0.23415670599818944,6.20420599324121,38.69952714680583,0.32535199980995505,0.010755022567346919,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
83,0.9005102040816326,0.30812981724739075,0.9052734375,0.8906755900956659,0.23719535458942512,6.233772055014383,39.07045928217881,0.28419146594993827,0.012310246499713528,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
84,0.9017857142857143,0.1882169395685196,0.94140625,0.9099675010746356,0.21566745975949025,6.266416163565216,39.47894368134355,0.2895552147223792,0.016953179988112063,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
85,0.9017857142857143,0.14315146207809448,0.955322265625,0.925023221545045,0.19097589043303742,6.295253789506659,39.84179801803729,0.27432640331653946,0.013695031045100779,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
86,0.9005102040816326,0.20854537189006805,0.93115234375,0.9056713245162544,0.2191590450675565,6.323528597152493,40.19989102208929,0.24982328695259795,0.016851836704673395,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
87,0.9017857142857143,0.14213921129703522,0.952392578125,0.9194694977063547,0.20252323432550753,6.3536243718513585,40.58391897970939,0.29405272304330893,0.012509263573057877,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
88,0.9005102040816326,0.18151837587356567,0.94189453125,0.9136202057640093,0.21095357700335313,6.382885917002883,40.95708111016058,0.28237482103482014,0.012409892936107607,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
89,0.9017857142857143,0.20120768249034882,0.9384765625,0.9140245290283237,0.2090917778386279,6.414018512366969,41.35661144445356,0.27588491760262945,0.01824341129009922,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
90,0.9017857142857143,0.18741190433502197,0.940673828125,0.9339351139328461,0.1753553662971231,6.438551795823733,41.672175383564785,0.2587695794621213,0.00841833624070755,K010_ELU1,0.1,elu,1.0,1,ELU1,7.157482711965684e-05,0.22385423267775442,1.8016881275894147e-05,0.24141849736700918,73.50973176048343,0.040073917647913446,0.34223481490938173,1.0,1.0658141036401503e-14,0.015322800643280907,16.887877450496788,3.305101374013665,-1.8967807620327863,1.0,0.9667999744415283
91,0.9005102040816326,0.1534540206193924,0.952880859375,0.9072845650272556,0.21738954601793878,6.466077167351041,42.031178033880195,0.29518525632922765,0.008718699024134009,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
92,0.9030612244897959,0.1695687472820282,0.943115234375,0.909081173592039,0.21904426027357596,6.494163819738251,42.39294810803265,0.28534352925629736,0.0100738153871237,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
93,0.9017857142857143,0.14690572023391724,0.951171875,0.9145322763775722,0.2053125987609093,6.519238224546826,42.7216793895254,0.2740248440147343,0.007146179820939395,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
94,0.9017857142857143,0.20551814138889313,0.934326171875,0.9299476666122348,0.18114150963819578,6.549563439456296,43.12017218621967,0.3130707885434563,0.01130624379278526,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
95,0.9017857142857143,0.16958102583885193,0.94482421875,0.9041378125297783,0.2241130418892818,6.577931465789857,43.49527100512139,0.3131030566672008,0.0076925085167083955,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
96,0.9017857142857143,0.2904326915740967,0.906005859375,0.9012362139877851,0.2237693161637936,6.602934586836589,43.82423620780644,0.3102289987621587,0.0022953268548408703,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
97,0.9005102040816326,0.20538093149662018,0.933349609375,0.8992764268526363,0.2249284195155208,6.630090962146599,44.18721312063597,0.28041752565988415,0.011301008929811736,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
98,0.9017857142857143,0.19382549822330475,0.9365234375,0.8952535312465099,0.22893723433139035,6.659097336800478,44.57376719761776,0.32654693371563626,0.007597505697827672,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
99,0.9005102040816326,0.16721904277801514,0.943603515625,0.9316184825360149,0.18442110512299784,6.683129422659282,44.893320896056046,0.2730104739944188,0.00640603596842961,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
100,0.9005102040816326,0.22855398058891296,0.931396484375,0.8791130073659068,0.25042017304532627,6.708747101491846,45.23602926696214,0.29779882722197326,0.005394830011570324,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00010594027332798732,0.2540923662002339,2.2708960787632542e-05,0.2466856803698724,74.42661561611908,0.044365818115818904,0.353075477089897,1.0,1.7763568394002505e-15,0.017216309695950838,17.297483170392407,3.201312964631652,-1.8230945016350026,1.0,0.9664999842643738
101,0.9017857142857143,0.16351212561130524,0.949462890625,0.9063268748486585,0.2170240894591155,6.734850906968009,45.584570032594335,0.31071181658683245,0.003965136313115067,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
102,0.9017857142857143,0.18307287991046906,0.939697265625,0.9050111679838617,0.2182483998015726,6.760089965992101,45.92540021269775,0.2932273803257542,0.006426239253881166,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
103,0.9030612244897959,0.13842326402664185,0.95263671875,0.9112189638403598,0.21499027028135867,6.782473492945445,46.2270997794616,0.2997612336237737,-0.0002270082118698191,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
104,0.9005102040816326,0.1606370061635971,0.950927734375,0.8980189526579475,0.22746419794141687,6.806879443117125,46.560450190300145,0.2846728465754528,0.006796683835242212,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
105,0.9005102040816326,0.457538902759552,0.8583984375,0.8651059272196904,0.2713874075652746,6.8381288299337,46.98914732244856,0.3459105729489903,0.00943003966466492,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
